Date,Depth_to_Groundwater,Temperature,Drainage_Volume,River_Hydrometry,Rainfall
2009-01-01,-31.048571428571428,1.6571428571428573,-28164.918857142857,2.371428571428571,0.0
2009-01-08,-30.784285714285716,4.571428571428571,-29755.789714285715,2.314285714285714,2.0
2009-01-15,-30.419999999999998,7.528571428571429,-25463.190857142858,2.3,0.2
2009-01-22,-30.018571428571427,6.214285714285714,-23854.422857142858,2.5,4.1
2009-01-29,-29.79,5.771428571428571,-25210.532571428572,2.5,9.9
2009-02-05,-29.52285714285714,8.257142857142856,-25326.555428571428,2.757142857142857,3.3
2009-02-12,-29.375714285714285,1.5142857142857142,-25441.837714285713,2.585714285714286,0.8
2009-02-19,-29.111428571428572,4.0,-25206.089142857145,2.414285714285714,0.0
2009-02-26,-28.891428571428573,8.142857142857142,-28097.28,2.4,9.9
2009-03-05,-28.694285714285716,8.557142857142857,-28783.91314285714,2.414285714285714,12.2
2009-03-12,-28.625714285714285,10.142857142857142,-30018.198857142856,2.5,0.0
2009-03-19,-28.305714285714284,6.471428571428572,-27305.732571428573,2.557142857142857,3.4
2009-03-26,-28.131428571428575,12.585714285714285,-27678.85714285714,2.542857142857143,8.7
2009-04-02,-28.032857142857143,13.657142857142857,-28997.691428571427,2.5714285714285716,1.0
2009-04-09,-27.784285714285716,14.757142857142856,-27310.176,2.371428571428571,0.2
2009-04-16,-27.64428571428571,13.685714285714285,-27917.814857142857,2.314285714285714,8.1
2009-04-23,-27.494285714285716,13.614285714285714,-28880.55771428571,2.314285714285714,4.1
2009-04-30,-27.37857142857143,14.528571428571428,-28303.035428571427,2.3000000000000003,2.9
2009-05-07,-27.43,18.914285714285715,-32117.59542857143,2.1142857142857143,0.0
2009-05-14,-27.462857142857143,21.185714285714287,-33886.203428571425,2.1,0.0
2009-05-21,-27.615714285714287,24.25714285714286,-35739.730285714286,2.0285714285714285,0.0
2009-05-28,-27.405714285714286,17.62857142857143,-29132.722285714284,2.0571428571428574,28.6
2009-06-04,-27.391428571428573,20.857142857142858,-32619.57942857143,2.1,0.0
2009-06-11,-27.655714285714286,24.342857142857145,-34814.88,2.0142857142857142,0.0
2009-06-18,-27.631428571428575,20.428571428571427,-31658.56457142857,2.0,0.3
2009-06-25,-27.50714285714286,21.314285714285713,-27435.702857142856,2.085714285714286,0.0
2009-07-02,-27.377142857142854,23.728571428571428,-30460.690285714285,2.1142857142857143,0.5
2009-07-09,-27.527142857142856,24.228571428571428,-31732.004571428573,2.185714285714286,0.0
2009-07-16,-27.791428571428572,25.37142857142857,-32862.24,2.0,1.3
2009-07-23,-28.075714285714287,27.728571428571428,-33621.20228571429,1.957142857142857,0.0
2009-07-30,-28.185714285714287,25.271428571428572,-29555.588571428572,2.0,47.1
2009-08-06,-27.975714285714286,24.642857142857142,-27771.428571428572,2.042857142857143,0.1
2009-08-13,-28.074285714285715,26.542857142857144,-30658.05257142857,2.1285714285714286,0.0
2009-08-20,-28.367142857142856,27.142857142857142,-36924.64457142857,2.0,0.0
2009-08-27,-28.364285714285717,26.142857142857142,-34107.264,2.0,0.0
2009-09-03,-28.43285714285714,22.771428571428572,-33484.07314285714,2.0,0.0
2009-09-10,-28.415714285714284,19.62857142857143,-33047.629714285715,2.0,0.0
2009-09-17,-28.35571428571429,19.842857142857145,-31940.22857142857,2.0142857142857142,13.6
2009-09-24,-28.53857142857143,20.5,-35881.673142857144,1.9857142857142858,0.0
2009-10-01,-28.664285714285715,18.685714285714287,-36227.39657142857,1.9,0.0
2009-10-08,-28.698571428571427,15.757142857142858,-34546.669714285716,1.9714285714285715,10.7
2009-10-15,-28.722857142857144,9.128571428571428,-34660.224,1.9,0.0
2009-10-22,-28.827142857142857,13.685714285714285,-35441.280000000006,2.0,0.0
2009-10-29,-28.94857142857143,9.285714285714286,-36182.22171428571,1.9857142857142858,7.1
2009-11-05,-28.997142857142855,9.37142857142857,-35895.99085714285,2.0285714285714285,15.3
2009-11-12,-29.024285714285718,10.214285714285714,-32759.424,2.0,0.0
2009-11-19,-29.111428571428572,9.0,-33538.752,2.0,0.1
2009-11-26,-29.125714285714285,9.87142857142857,-33556.77257142857,2.1142857142857143,20.3
